bookid,Type
1,Award Winning
1,Drama
1,Mystery
2,Action
2,Adventure
2,Award Winning
2,Drama
2,Fantasy
2,Horror
2,Supernatural
3,Award Winning
3,Drama
3,Mystery
3,Sci-Fi
4,Award Winning
4,Drama
4,Sci-Fi
4,Slice of Life
7,Award Winning
7,Sports
8,Comedy
8,Drama
8,Fantasy
8,Romance
8,Supernatural
9,Action
9,Adventure
9,Drama
9,Fantasy
10,Comedy
10,Drama
10,Mystery
10,Supernatural
11,Action
11,Adventure
11,Fantasy
12,Action
12,Adventure
12,Award Winning
12,Fantasy
13,Action
13,Adventure
13,Fantasy
14,Adventure
14,Comedy
14,Fantasy
15,Action
15,Adventure
15,Comedy
15,Fantasy
15,Romance
15,Supernatural
15,Ecchi
16,Award Winning
16,Comedy
16,Romance
16,Ecchi
17,Comedy
17,Drama
17,Romance
18,Award Winning
18,Comedy
18,Drama
18,Romance
18,Slice of Life
19,Action
19,Comedy
19,Drama
19,Mystery
19,Supernatural
19,Ecchi
20,Award Winning
20,Comedy
20,Drama
20,Supernatural
21,Supernatural
21,Suspense
22,Action
22,Drama
23,Action
23,Comedy
23,Romance
23,Ecchi
24,Action
24,Adventure
24,Fantasy
25,Action
25,Adventure
25,Award Winning
25,Drama
25,Fantasy
26,Action
26,Adventure
26,Fantasy
27,Action
27,Drama
27,Fantasy
27,Supernatural
28,Award Winning
28,Drama
28,Romance
29,Drama
29,Romance
30,Comedy
30,Drama
30,Romance
31,Award Winning
31,Comedy
31,Drama
31,Romance
32,Action
32,Adventure
32,Comedy
32,Drama
32,Fantasy
32,Supernatural
33,Comedy
33,Drama
33,Fantasy
33,Romance
34,Comedy
34,Fantasy
34,Sci-Fi
35,Comedy
35,Drama
35,Fantasy
35,Romance
36,Action
36,Drama
36,Romance
36,Supernatural
37,Comedy
37,Drama
37,Romance
38,Adventure
38,Fantasy
39,Action
39,Adventure
39,Supernatural
40,Action
40,Adventure
40,Comedy
40,Fantasy
41,Action
41,Comedy
41,Fantasy
41,Supernatural
42,Action
42,Adventure
42,Comedy
42,Sci-Fi
43,Sports
44,Action
44,Comedy
44,Sci-Fi
45,Comedy
45,Drama
45,Romance
45,Ecchi
46,Action
46,Mystery
47,Action
47,Comedy
48,Comedy
48,Romance
48,Ecchi
49,Sports
50,Action
50,Adventure
50,Comedy
50,Supernatural
51,Award Winning
51,Sports
52,Drama
52,Sports
53,Action
53,Award Winning
53,Comedy
53,Drama
53,Supernatural
54,Action
54,Adventure
54,Comedy
54,Drama
54,Fantasy
54,Mystery
54,Supernatural
55,Comedy
55,Drama
55,Romance
56,Comedy
56,Romance
57,Comedy
57,Drama
57,Romance
58,Comedy
58,Drama
58,Romance
58,Slice of Life
59,Action
59,Adventure
59,Comedy
59,Fantasy
60,Comedy
60,Romance
60,Ecchi
61,Boys Love
61,Drama
61,Erotica
62,Drama
62,Romance
63,Drama
63,Romance
64,Mystery
64,Supernatural
65,Drama
65,Romance
66,Comedy
67,Drama
67,Sci-Fi
68,Comedy
68,Drama
68,Romance
68,Ecchi
69,Romance
70,Action
70,Adventure
70,Fantasy
70,Ecchi
71,Comedy
71,Drama
71,Romance
71,Sci-Fi
72,Adventure
72,Comedy
72,Fantasy
72,Ecchi
73,Action
73,Drama
73,Romance
73,Supernatural
73,Ecchi
74,Action
74,Award Winning
74,Supernatural
74,Ecchi
75,Comedy
75,Drama
75,Romance
75,Ecchi
76,Award Winning
76,Comedy
76,Drama
76,Slice of Life
77,Comedy
77,Drama
77,Fantasy
77,Romance
77,Supernatural
78,Fantasy
78,Supernatural
79,Action
79,Adventure
79,Award Winning
79,Drama
79,Fantasy
79,Romance
79,Supernatural
80,Action
80,Comedy
80,Drama
80,Sci-Fi
81,Adventure
81,Comedy
81,Drama
81,Sci-Fi
81,Slice of Life
83,Award Winning
83,Drama
83,Fantasy
83,Mystery
83,Romance
83,Sci-Fi
83,Supernatural
84,Action
84,Adventure
84,Drama
84,Fantasy
84,Romance
85,Comedy
85,Slice of Life
86,Adventure
86,Fantasy
86,Romance
87,Mystery
87,Supernatural
88,Fantasy
88,Girls Love
89,Comedy
89,Drama
89,Romance
89,Slice of Life
90,Boys Love
90,Fantasy
90,Mystery
91,Comedy
91,Drama
91,Romance
92,Award Winning
92,Drama
92,Fantasy
92,Romance
93,Adventure
93,Drama
93,Sci-Fi
94,Comedy
94,Fantasy
94,Romance
94,Supernatural
95,Action
95,Comedy
95,Supernatural
96,Action
96,Adventure
96,Fantasy
96,Sci-Fi
96,Supernatural
97,Comedy
97,Romance
97,Sci-Fi
97,Ecchi
98,Comedy
98,Drama
98,Supernatural
99,Action
99,Adventure
99,Comedy
99,Drama
99,Horror
99,Supernatural
100,Comedy
100,Ecchi
101,Award Winning
101,Comedy
101,Romance
101,Supernatural
102,Award Winning
102,Drama
102,Romance
102,Supernatural
103,Comedy
103,Romance
103,Slice of Life
